Title,Old Url,New Url,Status,Notes,Group,Name,Whole Tag,Suggested Links
301 Moved Permanently,http://www.direct.gov.uk/cy/Video/Employmentandbenefits/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Video/Drivingandmotoring/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Video/Educationandlearning/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Video/Parenting/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/Video/Morevideos/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/InYourHome/Dealingwithemergencies/Preparingforemergencies/,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/EducationAndLearning/UniversityAndHigherEducation/StudentFinance/StudentsFromOtherEUCountries/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/EducationAndLearning/14To19/MoneyToLearn/16to19bursary/,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/BuyingAndSellingYourHome/Mortgagesandrepossessions/,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Councilandhousingassociationhomes/Findingsomewhere/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Councilandhousingassociationhomes/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
301 Moved Permanently,http://www.direct.gov.uk/cy/HomeAndCommunity/Councilandhousingassociationhomes/Housingassociationhomes/index.htm,"",410,"",site source status destination reviewed,directgov crawler closed gone no,site:directgov source:crawler status:closed destination:gone reviewed:no,
