Old Url,New Url,Status,Suggested Links,Archive Link
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177305,,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177313,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177331,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177337,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177340,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177272,,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/JobsAndCareers/DG_179727,,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_178866,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_177319,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_178872,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_178884,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/Employment/Jobseekers/LookingForWork/DG_178672,https://www.gov.uk/find-job/introduction,410,https://nationalcareersservice.direct.gov.uk,
http://www.direct.gov.uk/en/DisabledPeople/MotoringAndTransport/Bluebadgescheme/DG_4001061,https://www.gov.uk/blue-badge-scheme-information-council,301,,
http://www.direct.gov.uk/cy/Parents/Moneyandworkentitlements/Parentalleaveandpay/index.htm,https://www.gov.uk/cymraeg,301,,
