,Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
60,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | What We Do | Accommodation | SFA: Points of Contact,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/sfapointsofcontact.htm,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/sfapointsofcontact.htm,21593,26030,150,0
61,Ministry of Defence | About Defence | What we do | Science and Technology | DESG | Graduate Opportunities,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/scienceandtechnology/desg/graduateopportunities.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/scienceandtechnology/desg/graduateopportunities.htm,21334,27674,69,0
62,Ministry of Defence | Defence For... | The Service Community | BFPO | Send a Parcel,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/sendaparcel.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/sendaparcel.htm,21196,25457,91,0
63,Ministry of Defence | Defence News | Military Operations | Six soldiers believed killed in Helmand,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/sixsoldiersbelievedkilledinhelmand.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/sixsoldiersbelievedkilledinhelmand.htm,21066,23727,158,0
64,Ministry of Defence | About Defence | Corporate Publications | Personnel Publications | Service Records | Request forms for Service personnel details - general enquirer's form,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsgeneralenquirersform.htm,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/personnelpublications/servicerecords/requestformsforservicepersonneldetailsgeneralenquirersform.htm,21007,29696,102,0
65,Ministry of Defence | Defence For... | Researchers,http://www.mod.uk/defenceinternet/defencefor/researchers/informationforconductingresearchintothemod.htm,http://www.mod.uk/defenceinternet/defencefor/researchers/informationforconductingresearchintothemod.htm,20891,27531,30,0
66,Ministry of Defence | Defence For... | Business,http://www.mod.uk/defenceinternet/defencefor/business/findoutaboutdoingbusinesswithdefenceandhowtobuygoodsandservices.htm,http://www.mod.uk/defenceinternet/defencefor/business/findoutaboutdoingbusinesswithdefenceandhowtobuygoodsandservices.htm,20402,29300,49,0
67,Ministry of Defence | Defence For... | The Service Community | Housing | Joint Service Housing Advice Office (JSHAO),http://www.mod.uk/defenceinternet/defencefor/servicecommunity/housing/jointservicehousingadviceofficejshao.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/housing/jointservicehousingadviceofficejshao.htm,20376,29730,103,0
68,Ministry of Defence | About Defence | What we do | Air Safety and Aviation | Low Flying | Low Flying Exercises and Events,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lowflyingexercisesandevents.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lowflyingexercisesandevents.htm,20050,25974,62,0
69,Ministry of Defence | About Defence | What we do | Air Safety and Aviation | Low Flying | Low Flying Today,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lowflyingtoday.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/lowflying/lowflyingtoday.htm,19791,27350,40,0
70,Ministry of Defence | Defence News | People In Defence | Defence 2011: A Year in Pictures,http://www.mod.uk/defenceinternet/defencenews/peopleindefence/defence2011ayearinpictures.htm,http://www.mod.uk/defenceinternet/defencenews/peopleindefence/defence2011ayearinpictures.htm,19740,28354,40,0
71,Ministry of Defence | Defence For... | Jobseekers | Civilian Careers | Important Recruitment Information,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/importantrecruitmentinformation.htm,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/importantrecruitmentinformation.htm,19647,25818,54,0
72,Ministry of Defence | About Defence | What we do | Air Safety and Aviation | Military Aviation Authority | Military Aviation Authority (MAA),http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/maa/militaryaviationauthoritymaa.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/airsafetyandaviation/maa/militaryaviationauthoritymaa.htm,19248,30834,72,0
